621	19080000EAF00	BULDOZER SYSTEM	19080000EAF	OPERATING	0	UJTA
3889	19080000QJH20AK003	#2 FRAME 3	19080000QJH20	OPERATING	0	UJTA
5106	19080010BA	UNIT 1 - POWER TRANSMISSION	19080010B	OPERATING	1	UJTA
1416	19080000GCB32AA601	COMMON - REDUCER ON SEAWATER INLET PIPE 2	19080000GCB32	OPERATING	0	UJTA
5107	19080010BAA	UNIT 1 - GENERATOR LEADS	19080010BA	OPERATING	1	UJTA
2004	19080000GF	COMMON - CATION BED SYSTEM	19080000G	OPERATING	0	UJTA
2116	19080000GNN	COMMON - CHEMICAL SUPPLY SYSTEM	19080000GN	OPERATING	0	UJTA
2230	19080000GNN42AP001	COMMON - FLOCCULATION DOSING PUMP	19080000GNN42	OPERATING	0	UJTA
2362	19080000GNR50BB002	COMMON - OIL DRAIN TANK	19080000GNR50	OPERATING	0	UJTA
2449	19080000GSM01AE003	COMMON - ELECTRIC BLOCK C	19080000GSM01	OPERATING	0	UJTA
2514	19080000LD	COMMON -  CONDENSATE POLISHING PLANT	19080000L	OPERATING	0	UJTA
2634	19080000LDN20	COMMON- ACID STORAGE TANK SYSTEM	19080000LDN	OPERATING	0	UJTA
3741	19080000QJH10AK001	#1 FRAME 1	19080000QJH10	OPERATING	0	UJTA
3862	19080000QJH20AA221	BALL VALVE DRAIN ALKALI TANK	19080000QJH20	OPERATING	0	UJTA
5437	19080010CWA03GK002	UNIT 1 - DCS OWS	19080010CWA03	OPERATING	1	UJTA
4162	19080000SCB	COMMON - COMPRESSED AIR SYSTEM	19080000SC	OPERATING	0	UJTA
4899	19080000UEF30	STRUCTRURE - T3 TRANSFER TOWER	19080000UEF	OPERATING	0	UJTA
5706	19080010HAH04	UNIT 1 - HP SUPERHEATER SH PANELS OUTLET	19080010HAH	OPERATING	1	UJTA
5761	19080010HAH06	UNIT 1 HP SUPERHEATER 2ND SPRAY	19080010HAH	OPERATING	1	UJTA
5833	19080010HAJ	UNIT 1 - REHEAT SYSTEM	19080010HA	OPERATING	1	UJTA
7170	19080010HHE33	UNIT 1  COAL MILL (C) TO BUNER (C3)	19080010HHE	OPERATING	1	UJTA
7324	19080010HHP	UNIT 1 -   COOLANT SUPPLY SYSTEM (STEAM)	19080010HH	OPERATING	1	UJTA
7482	19080010HLA51	UNIT 1 - DUCTING EQUIPMENT (14)	19080010HLA	OPERATING	1	UJTA
7744	19080010HNA	UNIT 1 - DUCTING SYSTEM	19080010HN	OPERATING	1	UJTA
7852	19080010HNY	UNIT 1 - CONTROL AND PROTECTION EQUIPMENT	19080010HN	OPERATING	1	UJTA
8388	19080010LAL	UNIT 1 - BFP LUBE OIL COOLER SYSTEM	19080010LA	OPERATING	1	UJTA
9300	19080010LCJ40BR002	UNIT 1 - PIPE 2 DEAERATOR DRAIN	19080010LCJ40	OPERATING	1	UJTA
9590	19080010LNW	UNIT 1 -SEALING FLUID SUPPLY SYSTEM	19080010LN	OPERATING	1	UJTA
9852	19080010MAJ12AP001	UNIT 1 - VACUUM PUMP (B)	19080010MAJ12	OPERATING	1	UJTA
10089	19080010MAV46	UNIT 1 - LUBRICANT SUPPLY EQUIPMENT (46)	19080010MAV	OPERATING	1	UJTA
10134	19080010MAV62	UNIT 1 -  LUBRICANT SUPPLY EQUIPMENT (62)	19080010MAV	OPERATING	1	UJTA
10823	19080010MKW65AP001	UNIT 1  - H2 SIDE SEAL OIL PUMP B	19080010MKW65	ACTIVE	1	UJTA
11957	19080020CRB	UNIT 2 - CABINETS FOR FUNCTIONAL GROUP CONTROL	19080020CR	OPERATING	2	UJTA
12161	19080020HAD	UNIT 2 - EVAPORATOR SYSTEM	19080020HA	OPERATING	2	UJTA
12395	19080020HAJ10	UNIT 2 - REHEAT OUTLET STEAM	19080020HAJ	OPERATING	2	UJTA
12779	19080020HFC10AJ001	UNIT 2 - COAL MILL A	19080020HFC10	OPERATING	2	UJTA
13307	19080020HFW	UNIT 2 - SEALING FLUID SUPPLY SYSTEM	19080020HF	OPERATING	2	UJTA
13669	19080020HHE22	UNIT 2  COAL MILL (B) TO BUNER (B2)	19080020HHE	OPERATING	2	UJTA
14328	19080020HNC20	UNIT 2 - INDUCED DRAUGHT FAN SYSTEM (B)	19080020HNC	OPERATING	2	UJTA
14407	19080020HU	UNIT 2 - FLUE GAS REHEATING SYSTEM	19080020H	OPERATING	2	UJTA
14602	19080020LAC	UNIT 2  - FEEDWATER PUMP SYSTEM	19080020LA	OPERATING	2	UJTA
15050	19080020LBG20CP101	UNIT 2  - REHEAT INLET TO AUX STEAM PRESS	19080020LBG20	OPERATING	2	UJTA
15569	19080020LCC20AC001	UNIT 2  - LPH 6	19080020LCC20	OPERATING	2	UJTA
